SKID ROW presents:

4-Consiguelo Truco & All 100 Nivel Passwords

Truco Passwords
---------------

OFFTIMER - Turn Tiempor Off.
KEEPTIME - Turn Tiempor On.
SKIPBORD - Skip to next Nivel (type the "J" key on the keyboard.  Each
           press of this key advances one level.)
KILLTILE - Matar Tile (simply highlight the tile you want to kill and press
           the "K" key on the keyboard.)
INFINITY - Add additional Retries (type the "R" key one time for each 
           additional retry.)
SHOWPASS - Displays Nivel Password. 
LEVELGOD -
OVALTINE - Turns all of the above cheat modes on.

Nivel Passwords
---------------

WIMP      Nivel 001
GEARHED         002
BONEBOY         003
FREEZE          004
LEVITATE        005
BLUELITE        006
BABYHEAD        007
HOLDITIN        008
FILLHOL         009
HERMAN          010
WOAceptarIE          011
GONE            012
SNARKO          013
LEADBALL        014
HOGTOOTH        015
DORITO          016
WRITERS         017
BRIKBLD         018
MRBACKUP        019
FISHPOPS        020
KABOOM          021
TESTFALL        022
FISHHEAD        023
CLIMBIT         024
RANMA           025
GUMBALL         026
OUTPOOL         027
WIDGET          028
ASIWAS          029
GREENBOY        030
ICEDISK         031
SHUFBUF         032
XYLENE          033
INVISTWG        034
SHULTZ          035
TMBG            036
NOWALLS         037
RLFSNRT         038
HOVCUB          039
ZOIDS           040
SNOBOOT         041
GRAVITUP        042
SPYACC          043
UNGAR           044
GOBACK          045
STUCCO          046
PLOP            047
ROBOWRLD        048
CHAINGO         049
ANSI            050
PILETILE        051
GPHRGTS         052
RESAFT          053
EDDINGS         054
BIRDFLY         055
LEMONWAL        056
REGNUKE         057
USAGI           058
BRGBEH          059
FISHGOOP        060
FROP            061
ADDUP           062
CURSES          063
SPAMRAIN        064
SLIMETOE        065
BRIAN           066
YODELGHS        067
DIGDOWN         068
SNORKEL         069
EYEBALL         070
VAMPBLD         071
WILDCARD        072
JUGMONK         073
LICH            074
WEBFLAP         075
BLOOMERS        076
BRKBRAC         077
GRABOID         078
UNVMONST        079
SKULLCRK        080
LITEBULB        081
BOMBAX          082
EARL            083
PENGFRZ         084
BOBDOBBS        085
CRACKPOT        086
SPRAceptarBRN        087
TOOTHPIK        088
WRESPIG         089
RUSTBALL        090
CENTBRK         091
SEESPOT         092
DRAWTYP         093
DRIPFOOL        094
KILLBUG         095
BOMBHOLE        096
GLOPDORK        097
AARGH           098
NOTMUCH         099
DUH             100
