One Step Beyond


 LEVEL CODES:

   Zone 0         Zone 2         Zone 4         Zone 6         Zone 8

 001: 48474     021: 41949     041: 60033     061: 10426     081: 39989
 002: 39943     022: 09888     042: 48217     062: 18527     082: 43312
 003: 22881     023: 51837     043: 42714     063: 28953     083: 17765
 004: 62824     024: 61725     044: 25395     064: 47480     084: 61077
 005: 20169     025: 48026     045: 02573     065: 10897     085: 13306
 006: 17457     026: 44215     046: 27968     066: 58377     086: 08847
 007: 37626     027: 26703     047: 30541     067: 03738     087: 22153
 008: 55083     028: 05384     048: 58509     068: 62115     088: 31000
 009: 27173     029: 32089     049: 23514     069: 00317     089: 53153
 010: 16720     030: 37473     050: 16487     070: 62432     090: 18617

   Zone 1         Zone 3         Zone 5         Zone 7         Zone 9

 011: 43893     031: 04026     051: 40001     071: 62749     091: 06234
 012: 60613     032: 41499     052: 56488     072: 59645     092: 24851
 013: 38970     033: 45525     053: 30953     073: 56858     093: 31085
 014: 34047     034: 21488     054: 21905     074: 50967     094: 55936
 015: 07481     035: 01477     055: 52858     075: 42289     095: 21485
 016: 41528     036: 22965     056: 09227     076: 27720     096: 11885
 017: 49009     037: 24442     057: 62085     077: 04473     097: 33370
 018: 25001     038: 47407     058: 05776     078: 32193     098: 45255
 019: 08474     039: 06313     059: 02325     079: 36666     099: 13089
 020: 33475     040: 53720     060: 08101     080: 03323     100: 58344
