Stone Age

    Level Code   Level Code   Level Code   Level Code   Level Code
      1   ****     21  BUBOSO   41  LUVUDI   61  BOFAHA   81  LEHELU
      2   BOVIDO   22  LIFOHU   42  BUDOLO   62  LUVUBO   82  HOTOSU
      3   SIDULA   23  BOVIBE   43  LIFISA   63  HUDEDE   83  DARUHU
      4   BIFISI   24  LIDADA   44  HAVAHU   64  LIFILI   84  HUHOBA
      5   LOVUHO   25  BIFALO   45  LIDEBU   65  HAVUSO   85  DITIDO
      6   BADEBA   26  LEVUSA   46  HEPODE   66  DUDIHA   86  HARABA
      7   LUFEDO   27  LADOHI   47  DEVOLI   67  HEDUBU   87  DOHADI
      8   HAVULO   28  LUFIBO   48  HUDISO   68  DOREDU   88  SATULO
      9   LODISE   29  HIVADA   49  DUFAHA   69  SUHIBE   89  DOROSA
     10   HIFUHI   30  DODALO   50  HIVEBI   70  DUTUDI   90  SAHIHO
     11   DIVOBI   31  HIFUSE   51  DADODU   71  SIRILO   91  BUTABU
     12   HEDIDA   32  DIVEHE   52  SIFUBA   72  DAHUSA   92  SIRADE
     13   DAFALI   33  SEDEBI   53  DEVODO   73  SOTUHI   93  BIHULI
     14   HUVISU   34  DUFUDI   54  SEDILE   74  BERIBU   94  LOTESI
     15   DADOHA   35  SUVIBU   55  BUFASE   75  SOHADA   95  BARIHA
     16   SOFOBO   36  DIDUDI   56  SUVAHI   76  BUTELO   96  LOHUBI
     17   DIVIDE   37  SOFELU   57  BIDUBI   77  LUROSE   97  BATIBU
     18   SIDABI   38  BIVIA    58  LAFODU   78  BIHOHI   98  LURULA
     19   BEFEDO   39  SEDOHU   59  BIVILI   79  LATIBI   99  HIHESO
     20   SAVOLI   40  BEFIBE   60  LEDASU   80  HORADI  100  LITIHI
