Tautrix

Level Codes:

01  TOQUAD            13  SKATRUNDE         25  DATADISK
02  QUADRANT          14  TURNVATER         26  KOMMT
03  KANZLERAMT        15  WIRBELWIND        27  NORMAL
04  VANILLE           16  ZUCKERHUT         28  DRIP
05  FARBENMEER        17  OBERBAYERN        29  PYRAMID
06  SPIEGELKABINETT   18  ERDBEBEN          30  FUTURA
07  IMPERATOR         19  ZANKAPFEL         31  STIL
08  FREMDENLEGION     20  SCHRAUBENDREHER   32  KEIN ZOLLSTOCK
09  SARKASMUS         21  KONFETTIKANONE    33  QUADERQUARK
10  TRUNKENHEIT       22  AUGENLICHT        34  DATADISK
11  ALF               23  SCHATTENWELT      35  WET BEAVER
12  TUT ENCH AMUN     24  CARLO
