aprendiz


 Contraseñas:

 En la pantalla de título, presione la tecla [Tab] para ir a la contraseña
 Examina y prueba estos para ver el tamaño:

 MAGO
 gremio
 Hechizos
 arcano
 druida
 hada


 Modo trampa:

 Durante el juego, presione y mande [del] y [f3] para 50 chicos y todos
 Los extras.

 Códigos de nivel:
                             Nivel 01: BNAA
                             Nivel 02: Annab
                             Nivel 03: AnnaC
                             Nivel 04: Annad
                             Nivel 05: Annae
                             Nivel 06: Annaf
                             Nivel 07: Annaag
                             Nivel 08: Annah
                             Nivel 09: Annai
                             Nivel 10: Annaaj
                             Nivel 11: Annaak
                             Nivel 12: Anal
                             Nivel 13: Anam
                             Nivel 14: Annan
                             Nivel 15: Annao
                             Nivel 16: AnnaP
                             Nivel 17: Annaq
                             Nivel 18: Annaar
                             Nivel 19: Anás
                             Nivel 20: Annat
                             Nivel 21: Annau
                             Nivel 22: Annav
                             Nivel 23: Annaaw
                             Nivel 24: Annax
                             Nivel 25: Annay
                             Nivel 26: Annaz
                             Nivel 27: Annaba
                             Nivel 28: Annabb
                             Nivel 29: Annabc
                             Nivel 30: Annabd
                             Nivel 31: Annabe
                             Nivel 32: Annabf
