Mega movimiento

Aquí están los códigos de nivel del juego, comenzando con el predeterminado 3.
vidas.  Al comenzar en el nivel 99, puedes ver la secuencia final:

                            (CÓDIGOS DE NIVEL)

  00 KCPBEC 20 LGOFEC 40 IKNJEC 60 JOMNEC 80 PCKBEC
  01 KDPAEC 21 LHOEEC 41 ILNIEC 61 JPMMEC 81 PDKAEC
  02 KAPDEC 22 LEOHEC 42 IINLEC 62 JMMPEC 82 PAKDEC
  03 KBPCEC 23 LFOGEC 43 IJNKEC 63 JNMOEC 83 PBKCEC
  04 KGPFEC 24 LKOJEC 44 IONNEC 64 OCLBEC 84 PGKFEC
  05 KHPEEC 25 LLOIEC 45 IPNMEC 65 ODLAEC 85 PHKEEC
  06 KEPHEC 26 LIOLEC 46 IMNPEC 66 OALDEC 86 PEKHEC
  07 KFPGEC 27 LJOKEC 47 INNOEC 67 OBLCEC 87 PFKGEC
  08 KKPJEC 28 LOONEC 48 JCMBEC 68 OGLFEC 88 PKKJEC
  09 KLPIEC 29 LPOMEC 49 JDMAEC 69 OHLEEC 89 PLKIEC
  10 KIPLEC 30 LMOPEC 50 JAMDEC 70 OELHEC 90 PIKLEC
  11 KJPKEC 31 LNOOEC 51 JBMCEC 71 OFLGEC 91 PJKKEC
  12 KOPNEC 32 ICNBEC 52 JGMFEC 72 OKLJEC 92 POKNEC
  13 KPPMEC 33 IDNAEC 53 JHMEEC 73 OLLIEC 93 PPKMEC
  14 KMPPEC 34 IANDEC 54 JEMHEC 74 OILLEC 94 PMKPEC
  15 KNPOEC 35 IBNCEC 55 JFMGEC 75 OJLKEC 95 PNKOEC
  16 LCOBEC 36 IGNFEC 56 JKMJEC 76 OOLNEC 96 MCJBEC
  17 LDOAEC 37 IHNEEC 57 JLMIEC 77 OPLMEC 97 MDJAEC
  18 LAODEC 38 IENHEC 58 JIMLEC 78 OMLPEC 98 MAJDEC
  19 LBOCEC 39 IFNGEC 59 JJMKEC 79 ONLOEC 99 MBJCEC
