No importa
 
 MODO TRUCO:

 En la pantalla principal escriba '328GTS' y aparecerá un mensaje.
 diciendo "Haz trampa ahora con Steve". Ahora puedes presionar el botón derecho del mouse.
 durante el juego para saltar niveles.

 CÓDIGOS NO IMPORTA - TODOS LOS 1000 NIVELES
 
 
  0 MMMRHM 256 MMPRIM 512 MMWRZM 768 MMLRBM 
  1 AMMRHA 257 AMPRIA 513 AMWRZA 769 AMLRBA 
  2 HMMRHH 258 HMPRIH 514 HMWRZH 770 HMLRBH 
  3 VMMRHV 259 VMPRIV 515 VMWRZV 771 VMLRBV 
  4 PMMRHP 260 PMPRIP 516 PMWRZP 772 PMLRBP 
  5 GMMRHG 261 GMPRIG 517 GMWRZG 773 GMLRBG 
  6 IMMRHI 262 IMPRII 518 IMWRZI 774 IMLRBI 
  7 RMMRHR 263 RMPRIR 519 RMWRZR 775 RMLRBR 
  8 WMMRHW 264 WMPRIW 520 WMWRZW 776 WMLRBW 
  9 NMMRHN 265 NMPRIN 521 NMWRZN 777 NMLRBN 
 10 ZMMRHZ 266 ZMPRIZ 522 ZMWRZZ 778 ZMLRBZ 
 11 TMMRHT 267 TMPRIT 523 TMWRZT 779 TMLRBT 
 12 LMMRHL 268 LMPRIL 524 LMWRZL 780 LMLRBL 
 13 QMMRHQ 269 QMPRIQ 525 QMWRZQ 781 QMLRBQ 
 14 BMMRHB 270 BMPRIB 526 BMWRZB 782 BMLRBB 
 15 FMMRHF 271 FMPRIF 527 FMWRZF 783 FMLRBF 
 16 UMMRHU 272 UMPRIU 528 UMWRZU 784 UMLRBU 
 17 XMMRHX 273 XMPRIX 529 XMWRZX 785 XMLRBX 
 18 KMMRHK 274 KMPRIK 530 KMWRZK 786 KMLRBK 
 19 SMMRHS 275 SMPRIS 531 SMWRZS 787 SMLRBS 
 20 EMMRHE 276 EMPRIE 532 EMWRZE 788 EMLRBE 
 21 CMMRHC 277 CMPRIC 533 CMWRZC 789 CMLRBC 
 22 YMMRHY 278 YMPRIY 534 YMWRZY 790 YMLRBY 
 23 OMMRHO 279 OMPRIO 535 OMWRZO 791 OMLRBO 
 24 DMMRHD 280 DMPRID 536 DMWRZD 792 DMLRBD 
 25 JMMRHJ 281 JMPRIJ 537 JMWRZJ 793 JMLRBJ 
 26 HVMWHZ 282 HVPWIZ 538 HVWWZZ 794 HVLWBZ 
 27 VVMWHT 283 VVPWIT 539 VVWWZT 795 VVLWBT 
 28 PVMWHL 284 PVPWIL 540 PVWWZL 796 PVLWBL 
 29 GVMWHQ 285 GVPWIQ 541 GVWWZQ 797 GVLWBQ 
 30 IVMWHB 286 IVPWIB 542 IVWWZB 798 IVLWBB 
 31 RVMWHF 287 RVPWIF 543 RVWWZF 799 RVLWBF 
 32 MPMNHM 288 MPPNIM 544 MPWNZM 800 MPLNBM 
 33 APMNHA 289 APPNIA 545 APWNZA 801 APLNBA 
 34 HPMNHH 290 HPPNIH 546 HPWNZH 802 HPLNBH 
 35 VPMNHV 291 VPPNIV 547 VPWNZV 803 VPLNBV 
 36 PPMNHP 292 PPPNIP 548 PPWNZP 804 PPLNBP 
 37 GPMNHG 293 GPPNIG 549 GPWNZG 805 GPLNBG 
