Centinela, El / Centinela, El


 CÓDIGOS DE NIVEL:

 Éstos son sólo algunos de los 10000 códigos de paisaje secretos:

 Código de nivel
 ~~~~~ ~~~~
 00003: 70511958
 00007: 84257688
 00008: 16257084
 00010: 43428170
 00011: 40556356
 00015: 64046644
 00016: 66974534
 00018: 68627185
 00019: 55742564
 00020: 13509961
 00036: 97578966
 00043: 84199553
 00044: 96088666
 00050: 61185004
 00058: 46574972
 00061: 26060764
 00066: 68657887
 00073: 77809996
 00080: 18452261
 00082: 45949644
 00095: 48883305
 00103: 36873128
 00127: 66567770
 00150: 92856449
 00169: 16788555
 00196: 72957558
 00205: 78908712
 00225: 38546570
 00300: 49703885
 00400: 82065427
 00449: 00297522
 00514: 13679994
 00610: 39557944
 00906: 42666746
 00704: 09548849
 00818: 36852626
 01000: 91569547
 01058: 53527981
 01102: 76188275
 01197: 56217748
 01309: 13643654
 01400: 79380940
