CÓDIGOS DE NIVEL DE TANGRAM

POR SHAGRATT DEL LSD.

NOTA: ¡Este juego parece estar escrito en GFA básico!
 
 001: 041: 54796 081: 87792 121: 26824 161: 70768
 002: 03797 042: 96296 082: 11164 122: 45888 162: 16398
 003: 58829 043: 60897 083: 34047 123: 75267 163: 45576
 004: 73159 044: 72231 084: 70917 124: 63651 164: 87270
 005: 99530 045: 98488 085: 40282 125: 54485 165: 27781
 006: 22596 046: 40965 086: 73172 126: 46857 166: 47137
 007: 54393 047: 70834 087: 84157 127: 75327 167: 52193
 008: 60037 048: 46121 088: 74230 128: 96721 168: 96195
 009: 85164 049: 31089 089: 00016 129: 87963 169: 96438
 010: 07274 050: 27277 090: 75232 130: 64846 170: 25105
 011: 37322 051: 08439 091: 73834 131: 69235 171: 59006
 012: 26106 052: 38559 092: 22120 132: 88936 172: 32809
 013: 70473 053: 18171 093: 57837 133: 70104 173: 77032
 014: 83524 054: 96018 094: 14711 134: 69871 174: 79354
 015: 86720 055: 55315 095: 94330 135: 84165 175: 92292
 016: 71990 056: 48539 096: 83879 136: 41160 176: 55475
 017: 15683 057: 34714 097: 67725 137: 92632 177: 45759
 018: 24759 058: 91998 098: 73777 138: 62261 178: 69535
 019: 10439 059: 29935 099: 67882 139: 89064 179: 25274
 020: 14278 060: 02675 100: 93996 140: 38862 180: 79164
 021: 95912 061: 47089 101: 06764 141: 95862 181: 01657
 022: 58819 062: 18554 102: 59524 142: 95850 182: 19019
 023: 58890 063: 02353 103: 68744 143: 75176 183: 38497
 024: 86239 064: 27901 104: 82543 144: 10622 184: 96446
 025: 72861 065: 92505 105: 69198 145: 88831 185: 02971
 026: 47530 066: 87880 106: 36627 146: 01849 186: 15894
 027: 46574 067: 44828 107: 31909 147: 68389 187: 00442
 028: 81152 068: 80294 108: 36959 148: 27645 188: 18380
 029: 72493 069: 56847 109: 30712 149: 44059 189: 12666
 030: 81093 070: 47274 110: 71511 150: 73412 190: 90828
 031: 61522 071: 74219 111: 32222 151: 58439 191: 53026
 032: 68875 072: 31429 112: 53870 152: 52147 192: 79822
 033: 59092 073: 46658 113: 99460 153: 60754 193: 81648
 034: 74665 074: 43247 114: 73185 154: 78328 194: 16247
 035: 36338 075: 05111 115: 97271 155: 24249 195: 61426
 036: 39793 076: 35359 116: 07464 156: 26266 196: 93278
 037: 43456 077: 61230 117: 95544 157: 31021 197: 00006
 038: 51499 078: 54066 118: 03695 158: 45039 198: 26004
 039: 63588 079: 26317 119: 15647 159: 96112 199: 75258
 040: 47672 080: 91281 120: 43330 160: 78319 200: 95039

fin.
