X-Eso
 
 TRUCO:

 Durante el juego, escribe "MOOMIN.TROLL" y presiona cualquier tecla. La frontera será
 flash para informarle que funcionó. Esto te dará 100 vidas. Ahora
 utilice las siguientes claves:

                'L' Para omitir la etapa actual.
                'S' Para pasar al siguiente nivel.

 CONTRASEÑAS:

 001: 031: 112133 061: 881592 091: 656089
 002: 033028 032: 153902 062: 074340 092: 915915
 003: 555925 033: 545463 063: 653666 093: 894814
 004: 567597 034: 229533 064: 832898 094: 670706
 005: 276614 035: 014223 065: 396678 095: 133480
 006: 517375 036: 234451 066: 973313 096: 588867
 007: 877535 037: 979935 067: 901766 097: 571141
 008: 829508 038: 386485 068: 047778 098: 682057
 009: 287682 039: 508960 069: 815026 099: 861724
 010: 221620 040: 254507 070: 723544 100: 271428
 011: 728441 041: 463036 071: 856924 101: 395485
 012: 640537 042: 680022 072: 560343 102: 923444
 013: 558170 043: 501573 073: 488567 103: 326583
 014: 170088 044: 214071 074: 139351 104: 012011
 015: 688631 045: 780790 075: 072481 105: 309363
 016: 450418 046: 336169 076: 798082 106: 768552
 017: 898476 047: 112405 077: 271656 107: 496664
 018: 095909 048: 144077 078: 433733 108: 684294
 019: 589611 049: 146231 079: 967373 109: 692412
 020: 394659 050: 459776 080: 218428 110: 460855
 021: 068948 051: 175906 081: 198057 111: 898518
 022: 665513 052: 488304 082: 150866 112: 497921
 023: 541442 053: 680380 083: 832299 113: 240354
 024: 112954 054: 250290 084: 143651 114: 054147
 025: 293292 055: 772930 085: 437522 115: 254534
 026: 035134 056: 993616 086: 761094 116: 231584
 027: 758975 057: 035767 087: 289574 117: 190812
 028: 016091 058: 407532 088: 527851 118: 861693
 029: 035991 059: 517476 089: 450436 119: 492343
 030: 486351 060: 611479 090: 340540 120: 784122
