país de las maravillas
----------
[casi todas las contraseñas]

pag par lin código wrd
--------------------
 1 1 1 1 por favor
 1 1 1 7 para
 1 1 2 4 a
 1 1 2 6 y
 1 1 3 2 en
 1 1 3 3 tu
 3 1 1 8 pero
 3 1 3 7 entonces
 3 1 4 2 qué
 3 2 2 2 de
 3 2 5 4 con
 4 2 1 8 golpe
 4 3 1 4 jugar
 4 3 5 10 poco
 5 1 1 9 derecha
 5 1 4 8 de
 5 1 5 5 quiero
 5 1 7 1 uso
 6 1 1 1 inventario
 7 1 1 1 dar
 8 1 1 1 obtener
 9 1 1 1 el
 9 1 3 2 cual
 9 1 5 1 hasta
 9 2 1 3 con
 9 2 3 2 son
 9 2 4 2 cual
10 1 2 1 cual
10 1 2 2 tu
10 2 1 3 pequeño
10 3 1 8 habitación
11 1 1 2 son
11 1 5 3 y
11 2 1 5 uso
11 3 3 3 espectáculo
12 1 3 2 para
12 1 4 5 pero
12 2 1 8 tu
12 2 1 11 saber
13 1 1 5 el
13 1 2 2 cual
13 2 3 4 vez
14 1 1 4 grande
14 2 1 5 de
14 2 3 4 derecha
14 4 1 2 mover
15 1 1 5 el
15 1 3 2 leer
15 1 5 3 cual
15 2 1 5 que
15 3 1 7 excepto
16 1 1 8 vuelta
16 2 6 5 hasta
17 1 1 3 pequeño
18 1 3 6 trozo
19 1 1 5 pero
20 1 2 4 abierto
20 2 2 2 siempre
20 2 2 9 eso
24 1 3 7 cual
25 1 4 5 tu
26 1 1 4 de
27 1 3 6 barras
28 2 5 2 todos
29 2 2 9 espectáculo
30 1 1 5 ambos
31 1 2 2 oferta
32 1 1 2 inventario
32 1 1 7 en adelante
33 4 1 2 gota
34 1 1 2 abajo
35 1 1 7 son
42 3 2 3 que
43 2 4 4 tu
45 2 7 2 inventario
51 1 4 6 el
53 1 1 4 grande
54 1 4 3 izquierda
57 1 1 2 son
